frame_nmr,car_id,car_bbox,license_plate_bbox,license_plate_bbox_score,license_number,license_number_score
4,3,749.0850419068875 1380.2561569840045 1430.169427833705 2000.7944792397698,1077.0 1826.5 1333.0 1893.5,0.27972158789634705,NA13NRU,0.3943304278878626
5,3,745.7217093486347 1383.592584309706 1429.5207124578988 2006.4500037371715,1079.5 1831.25 1333.5 1898.75,0,0,0
6,3,742.358376790382 1386.9290116354073 1428.8719970820925 2012.1055282345733,1082.0 1836.0 1334.0 1904.0,0.2875353991985321,NA13NRU,0.3695077018993845
7,3,738.9892026091326 1389.1158300208895 1425.9190168551163 2016.1639512959866,1079.25 1838.75 1331.75 1906.25,0,0,0
8,3,735.6200284278832 1391.3026484063716 1422.9660366281398 2020.2223743574,1076.5 1841.5 1329.5 1908.5,0.2731064558029175,NA13NRU,0.6213371544480116
9,3,737.198533756864 1396.0504302402678 1425.608313191366 2026.1469191402243,1068.0 1846.5 1328.0 1917.5,0.2633386552333832,NA13NRU,0.530192146004091
10,3,733.9815397961914 1398.7389881945219 1424.4977811955805 2031.2362593202122,1064.3333333333333 1851.8333333333333 1329.0 1925.5,0,0,0
11,3,730.764545835519 1401.427546148776 1423.3872491997947 2036.3255995002003,1060.6666666666667 1857.1666666666667 1330.0 1933.5,0,0,0
12,3,727.5475518748465 1404.11610410303 1422.2767172040092 2041.4149396801881,1057.0 1862.5 1331.0 1941.5,0.2695748507976532,NA13NRU,0.4793069788482859
13,3,726.2983612138589 1404.2620563919236 1420.7562370798194 2043.2460089968135,1056.5 1862.0 1331.5 1940.0,0.25141578912734985,NA13NRU,0.4273588675448056
14,3,725.948089152427 1407.073792688533 1423.1740079907715 2052.1906821653465,1056.5 1867.0 1321.5 1941.0,0.301420122385025,NA13NRU,0.7770657401806718
15,3,722.8508943189663 1410.4544714524266 1421.446275688717 2056.053252311599,1055.35 1871.45 1322.05 1946.15,0,0,0
16,3,719.7536994855058 1413.8351502163202 1419.7185433866625 2059.915822457851,1054.2 1875.9 1322.6 1951.3,0,0,0
17,3,716.6565046520452 1417.2158289802137 1417.9908110846081 2063.778392604103,1053.05 1880.35 1323.15 1956.45,0,0,0
18,3,713.5593098185846 1420.5965077441074 1416.2630787825535 2067.6409627503554,1051.9 1884.8 1323.7 1961.6,0,0,0
19,3,710.4621149851239 1423.9771865080008 1414.535346480499 2071.503532896608,1050.75 1889.25 1324.25 1966.75,0,0,0
20,3,707.3649201516633 1427.3578652718943 1412.8076141784445 2075.36610304286,1049.6 1893.7 1324.8 1971.9,0,0,0
21,3,704.2677253182028 1430.738544035788 1411.0798818763901 2079.2286731891118,1048.45 1898.15 1325.35 1977.05,0,0,0
22,3,701.1705304847421 1434.1192227996814 1409.3521495743355 2083.091243335364,1047.3 1902.6 1325.9 1982.2,0,0,0
23,3,698.0733356512815 1437.4999015635751 1407.6244172722809 2086.9538134816166,1046.15 1907.05 1326.45 1987.35,0,0,0
24,3,694.9761408178209 1440.8805803274686 1405.8966849702265 2090.8163836278686,1045.0 1911.5 1327.0 1992.5,0.26352572441101074,MA13NRU,0.26092766683964674
25,3,694.0681484854692 1442.6688122878663 1406.4616434328757 2093.1022895808933,1045.0 1912.0 1327.0 1994.0,0.2589648962020874,NA13NRU,0.424185645287157
26,3,692.7656134308488 1444.9446890649597 1405.2073574810297 2096.836533517969,1041.0 1916.1666666666667 1323.6666666666667 1999.1666666666667,0,0,0
27,3,691.4630783762284 1447.220565842053 1403.9530715291835 2100.570777455045,1037.0 1920.3333333333333 1320.3333333333333 2004.3333333333333,0,0,0
28,3,690.160543321608 1449.4964426191464 1402.6987855773375 2104.305021392121,1033.0 1924.5 1317.0 2009.5,0.2629149556159973,NA13NRU,0.5283879977371762
29,3,687.7657503571128 1452.979640730237 1401.6679445203397 2107.7285409191268,1032.9166666666667 1928.5 1311.4166666666667 2011.1666666666667,0,0,0
30,3,685.3709573926175 1456.4628388413275 1400.6371034633416 2111.1520604461325,1032.8333333333333 1932.5 1305.8333333333333 2012.8333333333333,0,0,0
31,3,682.9761644281223 1459.9460369524181 1399.6062624063438 2114.5755799731387,1032.75 1936.5 1300.25 2014.5,0,0,0
32,3,680.5813714636271 1463.429235063509 1398.575421349346 2117.9990995001444,1032.6666666666667 1940.5 1294.6666666666667 2016.1666666666667,0,0,0
33,3,678.1865784991318 1466.9124331745995 1397.544580292348 2121.42261902715,1032.5833333333333 1944.5 1289.0833333333333 2017.8333333333333,0,0,0
34,3,675.7917855346366 1470.3956312856901 1396.5137392353502 2124.846138554156,1032.5 1948.5 1283.5 2019.5,0.2711680233478546,NA13NRU,0.364065359242207
35,3,674.1366033036195 1474.615427767497 1394.9358727698905 2128.285495522439,1031.0 1951.6666666666667 1285.6666666666667 2023.6666666666667,0,0,0
36,3,672.4814210726024 1478.8352242493038 1393.3580063044305 2131.7248524907222,1029.5 1954.8333333333333 1287.8333333333333 2027.8333333333333,0,0,0
37,3,670.8262388415853 1483.0550207311107 1391.7801398389709 2135.164209459005,1028.0 1958.0 1290.0 2032.0,0.2513829469680786,NA13NRU,0.21925326712856008
38,3,669.2003214335423 1488.6218264479687 1392.4475177419044 2139.0662063020804,1021.0 1965.5 1307.0 2050.5,0.25757020711898804,NA13NRU,0.21248012866370222
39,3,669.8429824057825 1492.6054771206864 1393.8429840420404 2143.0422179001416,1019.0 1971.5 1309.0 2062.5,0.2659100890159607,NA13NRU,0.537474477428656
40,3,668.4867028852525 1496.843865628256 1393.3502372623773 2146.5423182629693,1020.0 1975.5 1302.0 2062.5,0.26007816195487976,NA13NRU,0.2296734563361608
41,3,665.4496959965406 1502.064929265935 1391.448880815616 2148.950617237216,1018.5 1981.0 1307.5 2065.0,0.25011953711509705,NA13NRU,0.31590565380511776
42,3,660.3864022258674 1508.2792469050828 1387.4493834259506 2151.2091453743633,1011.5 1986.5 1304.5 2071.5,0.2521190941333771,NA13NRU,0.19410185598495575
43,3,658.1814789745154 1511.1973609490167 1386.0699012103037 2151.2822677086647,1012.0 1986.5 1306.0 2071.5,0.2523406744003296,MA13NRU,0.16903323853991128
44,3,656.511127578062 1511.9778075516128 1384.863844481351 2151.1812680135295,1018.0 1991.5 1306.0 2070.5,0.264431357383728,NA13NRU,0.2751002901898063
45,3,654.8168027814635 1515.5608887223636 1384.7247482769885 2153.097246327592,1015.5 1997.0 1304.5 2081.0,0.25867003202438354,NA13NRU,0.272759826000075
46,3,652.6581822597832 1517.9004616200225 1382.9836446284332 2152.606204859201,1022.0 2002.5 1290.0 2077.5,0.27462154626846313,NA13MRU,0.4009359281857528
47,3,650.7496196225443 1518.8215496318846 1382.460898523809 2151.1720453175485,1013.5 2007.5 1296.5 2088.5,0.2626529633998871,NA13MRU,0.48937768512873364
48,3,649.5623524357042 1521.5681951062174 1381.4060733835126 2151.2497123063295,1009.5 2013.0 1282.5 2095.0,0.2569535970687866,NA13NRU,0.30772616613244996
49,3,649.2277604662161 1523.288115332373 1380.8197253546418 2150.842517320465,1009.0 2013.0 1283.0 2095.0,0.25305265188217163,NA13NRU,0.3932475401463318
