frame_nmr,car_id,car_bbox,license_plate_bbox,license_plate_bbox_score,license_number,license_number_score
4,3,0.0850419068875 1380.2561569840045 1430.169427833705 2000.0,0.0 1826.5 1333.0 1893.0,0.27972158789634705,NA13NRU,0.3943304278878626
5,3,0.7217093486347 1383.592584309706 1429.5207124578988 2006.0,0.5 1831.25 1333.5 1898.0,0,0,0
6,3,0.358376790382 1386.9290116354073 1428.8719970820925 2012.0,0.0 1836.0 1334.0 1904.0,0.2875353991985321,NA13NRU,0.3695077018993845
7,3,0.9892026091326 1389.1158300208895 1425.9190168551163 2016.0,0.25 1838.75 1331.75 1906.0,0,0,0
8,3,0.6200284278832 1391.3026484063716 1422.9660366281398 2020.0,0.5 1841.5 1329.5 1908.0,0.2731064558029175,NA13NRU,0.6213371544480116
9,3,0.198533756864 1396.0504302402678 1425.608313191366 2026.0,0.0 1846.5 1328.0 1917.0,0.2633386552333832,NA13NRU,0.530192146004091
10,3,0.9815397961914 1398.7389881945219 1424.4977811955805 2031.0,0.3333333333333 1851.8333333333333 1329.0 1925.0,0,0,0
11,3,0.764545835519 1401.427546148776 1423.3872491997947 2036.0,0.6666666666667 1857.1666666666667 1330.0 1933.0,0,0,0
12,3,0.5475518748465 1404.11610410303 1422.2767172040092 2041.0,0.0 1862.5 1331.0 1941.0,0.2695748507976532,NA13NRU,0.4793069788482859
13,3,0.2983612138589 1404.2620563919236 1420.7562370798194 2043.0,0.5 1862.0 1331.5 1940.0,0.25141578912734985,NA13NRU,0.4273588675448056
14,3,0.948089152427 1407.073792688533 1423.1740079907715 2052.0,0.5 1867.0 1321.5 1941.0,0.301420122385025,NA13NRU,0.7770657401806718
15,3,0.8508943189663 1410.4544714524266 1421.446275688717 2056.0,0.35 1871.45 1322.05 1946.0,0,0,0
16,3,0.7536994855058 1413.8351502163202 1419.7185433866625 2059.0,0.2 1875.9 1322.6 1951.0,0,0,0
17,3,0.6565046520452 1417.2158289802137 1417.9908110846081 2063.0,0.05 1880.35 1323.15 1956.0,0,0,0
18,3,0.5593098185846 1420.5965077441074 1416.2630787825535 2067.0,0.9 1884.8 1323.7 1961.0,0,0,0
19,3,0.4621149851239 1423.9771865080008 1414.535346480499 2071.0,0.75 1889.25 1324.25 1966.0,0,0,0
20,3,0.3649201516633 1427.3578652718943 1412.8076141784445 2075.0,0.6 1893.7 1324.8 1971.0,0,0,0
21,3,0.2677253182028 1430.738544035788 1411.0798818763901 2079.0,0.45 1898.15 1325.35 1977.0,0,0,0
22,3,0.1705304847421 1434.1192227996814 1409.3521495743355 2083.0,0.3 1902.6 1325.9 1982.0,0,0,0
23,3,0.0733356512815 1437.4999015635751 1407.6244172722809 2086.0,0.15 1907.05 1326.45 1987.0,0,0,0
24,3,0.9761408178209 1440.8805803274686 1405.8966849702265 2090.0,0.0 1911.5 1327.0 1992.0,0.26352572441101074,MA13NRU,0.26092766683964674
25,3,0.0681484854692 1442.6688122878663 1406.4616434328757 2093.0,0.0 1912.0 1327.0 1994.0,0.2589648962020874,NA13NRU,0.424185645287157
26,3,0.7656134308488 1444.9446890649597 1405.2073574810297 2096.0,0.0 1916.1666666666667 1323.6666666666667 1999.0,0,0,0
27,3,0.4630783762284 1447.220565842053 1403.9530715291835 2100.0,0.0 1920.3333333333333 1320.3333333333333 2004.0,0,0,0
28,3,0.160543321608 1449.4964426191464 1402.6987855773375 2104.0,0.0 1924.5 1317.0 2009.0,0.2629149556159973,NA13NRU,0.5283879977371762
29,3,0.7657503571128 1452.979640730237 1401.6679445203397 2107.0,0.9166666666667 1928.5 1311.4166666666667 2011.0,0,0,0
30,3,0.3709573926175 1456.4628388413275 1400.6371034633416 2111.0,0.8333333333333 1932.5 1305.8333333333333 2012.0,0,0,0
31,3,0.9761644281223 1459.9460369524181 1399.6062624063438 2114.0,0.75 1936.5 1300.25 2014.0,0,0,0
32,3,0.5813714636271 1463.429235063509 1398.575421349346 2117.0,0.6666666666667 1940.5 1294.6666666666667 2016.0,0,0,0
33,3,0.1865784991318 1466.9124331745995 1397.544580292348 2121.0,0.5833333333333 1944.5 1289.0833333333333 2017.0,0,0,0
34,3,0.7917855346366 1470.3956312856901 1396.5137392353502 2124.0,0.5 1948.5 1283.5 2019.0,0.2711680233478546,NA13NRU,0.364065359242207
35,3,0.1366033036195 1474.615427767497 1394.9358727698905 2128.0,0.0 1951.6666666666667 1285.6666666666667 2023.0,0,0,0
36,3,0.4814210726024 1478.8352242493038 1393.3580063044305 2131.0,0.5 1954.8333333333333 1287.8333333333333 2027.0,0,0,0
37,3,0.8262388415853 1483.0550207311107 1391.7801398389709 2135.0,0.0 1958.0 1290.0 2032.0,0.2513829469680786,NA13NRU,0.21925326712856008
38,3,0.2003214335423 1488.6218264479687 1392.4475177419044 2139.0,0.0 1965.5 1307.0 2050.0,0.25757020711898804,NA13NRU,0.21248012866370222
39,3,0.8429824057825 1492.6054771206864 1393.8429840420404 2143.0,0.0 1971.5 1309.0 2062.0,0.2659100890159607,NA13NRU,0.537474477428656
40,3,0.4867028852525 1496.843865628256 1393.3502372623773 2146.0,0.0 1975.5 1302.0 2062.0,0.26007816195487976,NA13NRU,0.2296734563361608
41,3,0.4496959965406 1502.064929265935 1391.448880815616 2148.0,0.5 1981.0 1307.5 2065.0,0.25011953711509705,NA13NRU,0.31590565380511776
42,3,0.3864022258674 1508.2792469050828 1387.4493834259506 2151.0,0.5 1986.5 1304.5 2071.0,0.2521190941333771,NA13NRU,0.19410185598495575
43,3,0.1814789745154 1511.1973609490167 1386.0699012103037 2151.0,0.0 1986.5 1306.0 2071.0,0.2523406744003296,MA13NRU,0.16903323853991128
44,3,0.511127578062 1511.9778075516128 1384.863844481351 2151.0,0.0 1991.5 1306.0 2070.0,0.264431357383728,NA13NRU,0.2751002901898063
45,3,0.8168027814635 1515.5608887223636 1384.7247482769885 2153.0,0.5 1997.0 1304.5 2081.0,0.25867003202438354,NA13NRU,0.272759826000075
46,3,0.6581822597832 1517.9004616200225 1382.9836446284332 2152.0,0.0 2002.5 1290.0 2077.0,0.27462154626846313,NA13MRU,0.4009359281857528
47,3,0.7496196225443 1518.8215496318846 1382.460898523809 2151.0,0.5 2007.5 1296.5 2088.0,0.2626529633998871,NA13MRU,0.48937768512873364
48,3,0.5623524357042 1521.5681951062174 1381.4060733835126 2151.0,0.5 2013.0 1282.5 2095.0,0.2569535970687866,NA13NRU,0.30772616613244996
49,3,0.2277604662161 1523.288115332373 1380.8197253546418 2150.0,0.0 2013.0 1283.0 2095.0,0.25305265188217163,NA13NRU,0.3932475401463318
